 site       X              Y              Z             EMT           DFT
  1   0.0000000000   0.0000000000  -5.0000000000   0.2423991855  -1.0481367200
  1   0.0000000000   0.0000000000  -4.8000000000   0.2462580033  -1.0341551400
  1   0.0000000000   0.0000000000  -4.6000000000  -0.0045730009  -1.0634472300
  1   0.0000000000   0.0000000000  -4.4000000000  -0.4435881344  -1.1120685600
  1   0.0000000000   0.0000000000  -4.2000000000  -0.9300613834  -1.1441723700
  1   0.0000000000   0.0000000000  -4.0000000000  -1.3290679622  -1.1428062800
  1   0.0000000000   0.0000000000  -3.8000000000  -1.5653111278  -1.1234914100
  1   0.0000000000   0.0000000000  -3.6000000000  -1.6209818126  -1.1164879700
  1   0.0000000000   0.0000000000  -3.4000000000  -1.4963273066  -1.1326124900
  1   0.0000000000   0.0000000000  -3.2000000000  -1.1934390699  -1.1507669400
  1   0.0000000000   0.0000000000  -3.0000000000  -0.7483378200  -1.1421717100
  1   0.0000000000   0.0000000000  -2.8000000000  -0.2620923829  -1.1025158700
  1   0.0000000000   0.0000000000  -2.6000000000   0.1193418948  -1.0585963200
  1   0.0000000000   0.0000000000  -2.4000000000   0.2742840289  -1.0456280500
  1   0.0000000000   0.0000000000  -2.2000000000   0.1817114658  -1.0771306200
  1   0.0000000000   0.0000000000  -2.0000000000  -0.0439455402  -1.1313340400
  1   0.0000000000   0.0000000000  -1.8000000000  -0.1671349376  -1.1516515500
  1   0.0000000000   0.0000000000  -1.6000000000   0.1815618489  -1.0166319300
  1   0.0000000000   0.0000000000  -1.4000000000   1.7195637513  -0.3742959700
  1   0.0000000000   0.0000000000  -1.2000000000   6.1533015044   1.8422229800
  1   0.0000000000   0.0000000000  -1.0000000000  17.6686233141   8.5517769600
  1   0.0000000000   0.0000000000   1.0000000000  16.5983427300   7.6765841000
  1   0.0000000000   0.0000000000   1.2000000000   4.7279763773   0.8766178600
  1   0.0000000000   0.0000000000   1.4000000000   0.0186525869  -1.3052850000
  1   0.0000000000   0.0000000000   1.6000000000  -1.6494170869  -1.7566152900
  1   0.0000000000   0.0000000000   1.8000000000  -2.0113448813  -1.5797203200
  1   0.0000000000   0.0000000000   2.0000000000  -1.8467888460  -1.1983958900
  1   0.0000000000   0.0000000000   2.2000000000  -1.5120612738  -0.7846930900
  1   0.0000000000   0.0000000000   2.4000000000  -1.1631157653  -0.4237280100
  1   0.0000000000   0.0000000000   2.6000000000  -0.8602917980  -0.2072099100
  1   0.0000000000   0.0000000000   2.8000000000  -0.6196214037  -0.0962708300
  1   0.0000000000   0.0000000000   3.0000000000  -0.4377021598  -0.0451418900
  1   0.0000000000   0.0000000000   3.2000000000  -0.3046864215  -0.0222995900
  1   0.0000000000   0.0000000000   3.4000000000  -0.2096713271  -0.0120612900
  1   0.0000000000   0.0000000000   3.6000000000  -0.1429594672  -0.0075157000
  1   0.0000000000   0.0000000000   3.8000000000  -0.0967307177  -0.0055164800
  1   0.0000000000   0.0000000000   4.0000000000  -0.0648820729  -0.0045484600
  1   0.0000000000   0.0000000000   4.2000000000  -0.0400394152  -0.0039407100
  1   0.0000000000   0.0000000000   4.4000000000  -0.0237978200  -0.0034222300
  1   0.0000000000   0.0000000000   4.6000000000  -0.0153883742  -0.0029049400
  1   0.0000000000   0.0000000000   4.8000000000  -0.0099459072  -0.0023772200
  1   0.0000000000   0.0000000000   5.0000000000  -0.0062899814  -0.0018477500
  1   0.0000000000   0.0000000000   5.2000000000  -0.0013299304  -0.0013408400
  1   0.0000000000   0.0000000000   5.4000000000  -0.0000266868  -0.0008915600
  1   0.0000000000   0.0000000000   5.6000000000  -0.0000004160  -0.0004981300
  1   0.0000000000   0.0000000000   5.8000000000  -0.0000000061  -0.0001762000
  1   0.0000000000   0.0000000000   6.0000000000  -0.0000000001   0.0000742300
  2   0.4950925980   0.0000000000  -5.0000000000   3.3206309006   0.2716979800
  2   0.4950925980   0.0000000000  -4.8000000000   3.4580609131   0.3770731100
  2   0.4950925980   0.0000000000  -4.6000000000   2.8678221841   0.1762262800
  2   0.4950925980   0.0000000000  -4.4000000000   1.7829609395  -0.2207344500
  2   0.4950925980   0.0000000000  -4.2000000000   0.6048569942  -0.6282200700
  2   0.4950925980   0.0000000000  -4.0000000000  -0.3320788888  -0.9175127000
  2   0.4950925980   0.0000000000  -3.8000000000  -0.8727121460  -1.0634802500
  2   0.4950925980   0.0000000000  -3.6000000000  -0.9984277722  -1.0959496300
  2   0.4950925980   0.0000000000  -3.4000000000  -0.7160117731  -1.0284113300
  2   0.4950925980   0.0000000000  -3.2000000000  -0.0168110005  -0.8353097100
  2   0.4950925980   0.0000000000  -3.0000000000   1.0407043457  -0.4975200700
  2   0.4950925980   0.0000000000  -2.8000000000   2.2305542489  -0.0754113000
  2   0.4950925980   0.0000000000  -2.6000000000   3.1704235668   0.2706121000
  2   0.4950925980   0.0000000000  -2.4000000000   3.4934038719   0.3650925200
  2   0.4950925980   0.0000000000  -2.2000000000   3.0875724783   0.1539438000
  2   0.4950925980   0.0000000000  -2.0000000000   2.1943693743  -0.2471428300
  2   0.4950925980   0.0000000000  -1.8000000000   1.2741415453  -0.6403109600
  2   0.4950925980   0.0000000000  -1.6000000000   0.8084589903  -0.8445732500
  2   0.4950925980   0.0000000000  -1.4000000000   1.3040057206  -0.6476252300
  2   0.4950925980   0.0000000000  -1.2000000000   3.6550406568   0.4697963900
  2   0.4950925980   0.0000000000  -1.0000000000   9.8127285337   3.8378432100
  2   0.4950925980   0.0000000000   1.0000000000   8.5343494721   2.9970199500
  2   0.4950925980   0.0000000000   1.2000000000   1.9063966117  -0.4685275900
  2   0.4950925980   0.0000000000   1.4000000000  -0.9083307253  -1.5888557400
  2   0.4950925980   0.0000000000   1.6000000000  -1.8797386789  -1.7218588800
  2   0.4950925980   0.0000000000   1.8000000000  -1.9997509759  -1.4674781400
  2   0.4950925980   0.0000000000   2.0000000000  -1.7683994978  -1.0863606600
  2   0.4950925980   0.0000000000   2.2000000000  -1.4305493922  -0.6955358500
  2   0.4950925980   0.0000000000   2.4000000000  -1.0977066531  -0.3697565000
  2   0.4950925980   0.0000000000   2.6000000000  -0.8133126921  -0.1807841800
  2   0.4950925980   0.0000000000   2.8000000000  -0.5878821640  -0.0845863000
  2   0.4950925980   0.0000000000   3.0000000000  -0.4171225928  -0.0401606700
  2   0.4950925980   0.0000000000   3.2000000000  -0.2917204024  -0.0201803800
  2   0.4950925980   0.0000000000   3.4000000000  -0.2016750371  -0.0111888100
  2   0.4950925980   0.0000000000   3.6000000000  -0.1380857253  -0.0071804200
  2   0.4950925980   0.0000000000   3.8000000000  -0.0934053145  -0.0054035300
  2   0.4950925980   0.0000000000   4.0000000000  -0.0617484223  -0.0045288300
  2   0.4950925980   0.0000000000   4.2000000000  -0.0405003347  -0.0039569100
  2   0.4950925980   0.0000000000   4.4000000000  -0.0248788936  -0.0034473900
  2   0.4950925980   0.0000000000   4.6000000000  -0.0147195546  -0.0029264200
  2   0.4950925980   0.0000000000   4.8000000000  -0.0094068187  -0.0023934000
  2   0.4950925980   0.0000000000   5.0000000000  -0.0058695265  -0.0018647000
  2   0.4950925980   0.0000000000   5.2000000000  -0.0008874156  -0.0013665800
  2   0.4950925980   0.0000000000   5.4000000000  -0.0000167271  -0.0009223800
  2   0.4950925980   0.0000000000   5.6000000000  -0.0000002630  -0.0005335400
  2   0.4950925980   0.0000000000   5.8000000000  -0.0000000039  -0.0002101300
  2   0.4950925980   0.0000000000   6.0000000000  -0.0000000001   0.0000423800
  3   0.9901851960   0.0000000000  -5.0000000000  17.8524809684   8.4485172000
  3   0.9901851960   0.0000000000  -4.8000000000  18.7601134306   9.2096237600
  3   0.9901851960   0.0000000000  -4.6000000000  16.1212574731   7.8018882300
  3   0.9901851960   0.0000000000  -4.4000000000  11.4173183009   5.0949056300
  3   0.9901851960   0.0000000000  -4.2000000000   6.7271016188   2.4226629400
  3   0.9901851960   0.0000000000  -4.0000000000   3.3152547548   0.5624511100
  3   0.9901851960   0.0000000000  -3.8000000000   1.4765061033  -0.3896112800
